ID,sex,age,Born in the US? ,num children,Degree,Years of school,Redistribution good,God,Happy,science spending,afterlife
1,female,65,Yes,3,High School,12,agree,Believe without a doubt,pretty happy,spending about the right amount,No
2,male,60,Yes,0,Bachelors,16,agree,"Don't know, no way to find out",pretty happy,spending too little,Yes
3,male,20,No,0,High School,12,unsure,Believe without a doubt,pretty happy,spending too little,Yes
4,male,76,Yes,0,High School,13,agree,"Don't know, no way to find out",not too happy,spending too little,Yes
5,male,23,No,0,High School,15,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
6,female,71,Yes,0,Graduate degree,16,agree,Believe without a doubt,pretty happy,spending too little,Yes
7,male,75,Yes,2,Graduate degree,18,agree,Believe without a doubt,pretty happy,spending too little,Yes
8,female,65,No,3,High School,12,agree,Believe without a doubt,not too happy,spending too little,Yes
9,female,22,Yes,0,Associates,15,agree,Atheist,pretty happy,spending too little,No
10,male,31,Yes,0,Bachelors,16,agree,Belief in a higher power,pretty happy,spending too little,No
11,female,55,Yes,3,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
12,female,33,Yes,1,Bachelors,18,agree,Belief in a higher power,not too happy,spending about the right amount,Yes
13,female,43,No,0,Graduate degree,20,agree,Belief in a higher power,pretty happy,spending about the right amount,Yes
14,male,53,Yes,3,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending too little,Yes
15,female,62,Yes,0,High School,13,disagree,Believe without a doubt,pretty happy,spending about the right amount,No
16,male,29,Yes,0,Bachelors,17,disagree,Atheist,pretty happy,spending too little,No
17,female,53,Yes,2,Bachelors,16,agree,Atheist,pretty happy,spending about the right amount,No
18,male,51,Yes,2,Graduate degree,20,unsure,"Believe, but with some doubts",not too happy,spending about the right amount,Yes
19,female,26,Yes,0,High School,12,agree,"Believe, but with some doubts",pretty happy,spending too little,No
20,female,28,Yes,1,High School,14,agree,Believe without a doubt,not too happy,spending about the right amount,Yes
21,male,45,Yes,2,Graduate degree,16,agree,Believe in god sometimes,pretty happy,spending too little,Yes
22,female,43,No,2,Bachelors,16,disagree,Believe without a doubt,pretty happy,spending too little,Yes
23,female,31,Yes,1,High School,13,agree,"Don't know, no way to find out",pretty happy,spending about the right amount,Yes
24,female,64,Yes,1,High School,14,agree,Believe without a doubt,not too happy,spending too little,No
25,male,58,No,3,Less than High School,3,agree,Believe in god sometimes,pretty happy,spending about the right amount,Yes
26,male,51,Yes,1,Associates,14,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
27,male,78,Yes,4,Bachelors,16,disagree,Believe without a doubt,not too happy,spending too little,Yes
28,female,42,Yes,1,Bachelors,17,agree,"Believe, but with some doubts",not too happy,spending too little,Yes
29,male,64,Yes,1,Associates,14,agree,Belief in a higher power,pretty happy,spending too little,No
30,female,51,Yes,0,Less than High School,6,agree,Believe without a doubt,not too happy,spending too little,Yes
31,female,55,No,2,High School,12,agree,Belief in a higher power,Very happy,spending too little,Yes
32,male,62,Yes,3,High School,16,disagree,"Believe, but with some doubts",not too happy,spending too little,No
33,female,62,Yes,1,High School,12,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
34,female,72,Yes,1,High School,12,unsure,Believe without a doubt,pretty happy,spending too little,Yes
35,female,64,Yes,3,Graduate degree,18,agree,Believe without a doubt,pretty happy,spending too little,Yes
36,male,42,Yes,2,Bachelors,16,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
37,female,73,Yes,0,Bachelors,16,disagree,"Believe, but with some doubts",not too happy,spending about the right amount,Yes
38,female,32,Yes,0,Bachelors,18,agree,Believe in god sometimes,not too happy,spending about the right amount,No
39,male,22,Yes,0,High School,12,agree,Believe without a doubt,pretty happy,spending about the right amount,No
40,female,71,Yes,3,Bachelors,16,agree,"Believe, but with some doubts",pretty happy,spending too little,Yes
41,female,55,Yes,3,Bachelors,16,disagree,"Believe, but with some doubts",Very happy,spending too little,Yes
42,male,28,Yes,0,High School,13,agree,"Believe, but with some doubts",Very happy,spending too little,Yes
43,male,41,No,2,Graduate degree,16,agree,Atheist,pretty happy,spending too little,No
44,male,66,Yes,0,Associates,14,agree,Believe without a doubt,not too happy,spending too little,Yes
45,male,74,Yes,2,Graduate degree,18,agree,Atheist,pretty happy,spending too little,No
46,female,66,Yes,4,Bachelors,18,agree,Believe without a doubt,pretty happy,spending about the right amount,Yes
47,male,70,Yes,6,High School,13,disagree,Believe without a doubt,Very happy,spending about the right amount,Yes
48,male,41,Yes,4,Bachelors,16,disagree,Believe without a doubt,Very happy,spending too much,Yes
49,male,56,Yes,0,High School,12,disagree,"Don't know, no way to find out",Very happy,spending too little,No
50,female,41,Yes,0,Graduate degree,20,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
51,male,61,No,2,Graduate degree,20,agree,"Believe, but with some doubts",Very happy,spending too little,No
52,male,38,Yes,4,Bachelors,18,disagree,Believe without a doubt,pretty happy,spending about the right amount,Yes
53,female,64,Yes,1,Bachelors,16,agree,Belief in a higher power,not too happy,spending about the right amount,Yes
54,male,33,Yes,0,Graduate degree,18,agree,"Believe, but with some doubts",not too happy,spending about the right amount,No
55,female,32,No,0,Graduate degree,18,agree,Belief in a higher power,pretty happy,spending too little,Yes
56,female,71,No,4,Bachelors,16,unsure,Believe without a doubt,pretty happy,spending too much,Yes
57,female,38,Yes,4,Bachelors,16,disagree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
58,female,56,Yes,3,High School,12,disagree,"Believe, but with some doubts",pretty happy,spending too little,Yes
59,male,25,Yes,0,Bachelors,17,agree,"Don't know, no way to find out",pretty happy,spending too little,No
60,female,24,Yes,0,Bachelors,16,agree,Atheist,not too happy,spending too little,No
61,female,40,Yes,3,Graduate degree,18,disagree,Belief in a higher power,Very happy,spending too little,Yes
62,female,61,Yes,1,Graduate degree,18,agree,Belief in a higher power,pretty happy,spending about the right amount,No
63,male,58,Yes,0,High School,12,unsure,Believe without a doubt,pretty happy,spending too little,No
64,female,68,Yes,0,High School,12,agree,"Believe, but with some doubts",pretty happy,spending about the right amount,Yes
65,female,36,Yes,1,Bachelors,16,agree,Believe in god sometimes,not too happy,spending too little,Yes
66,male,67,Yes,2,Associates,14,agree,Believe without a doubt,Very happy,spending about the right amount,No
67,female,53,Yes,2,Graduate degree,19,agree,Atheist,pretty happy,spending too little,No
68,female,60,Yes,0,Graduate degree,16,agree,Believe without a doubt,pretty happy,spending too much,Yes
69,male,43,No,0,Graduate degree,19,disagree,Believe in god sometimes,not too happy,spending too little,Yes
